"","Loo.L.I","Loo.L.II.IV","Loo.L.V.VI","Loo.PROG"
"WGCNA.L.I",6,0,0,0
"WGCNA.L.II.VI",1,4,9,2
"WGCNA.PROG",0,0,0,8
"WGCNA.Not Groupped",0,0,0,5
