"","Loo.L.I","Loo.L.II.IV","Loo.L.V.VI","Loo.PROG"
"COTAN.L.I",0,0,0,0
"COTAN.L.II.III",0,2,1,0
"COTAN.L.IV",0,0,0,1
"COTAN.L.V.VI",0,0,5,0
"COTAN.PROG",0,0,0,5
"COTAN.Not Grouped",0,0,1,2
