"","Actb","Amacr","Calm1","Cox6b1","Cox7c","Dcx","Erh","Gapdh","Golph3","H3f3a","Hes1","Hes5","Map2","Mtmr12","Nefl","Nefm","Nes","Neurod1","Notch1","Pax6","Ppia","Rpl18","Sox1","Sox2","Sub1","Taf1","Taf2","Tars","Tbr1","Tubb3","Vim","Zfr"
"Hes1",-0.242043428576619,0.0326361417999029,-0.333366707148496,-0.0449103602712513,0.0109962607182239,-0.387473396206894,0.136884651356823,0.22684562105477,0.0623384953044655,-0.0399554902615616,0,0.527923280697006,-0.301141225732875,0.040819921846943,-0.131762341567695,-0.0960877526425328,0.307656223832497,-0.278631703022122,0.43405299343489,0.405974289976833,0.250651671910148,0.221787392022341,0.271844271107083,0.440090208811865,0.275212873662961,0.0583264636044319,0.0389419981474907,0.0338277554334869,-0.139527045773638,-0.485281494688445,0.428299395367966,0.0562382381024221
"Hes5",-0.286740705729334,-0.00533849644626185,-0.319010864609114,-0.0622342573036417,0.0196629505497927,-0.309437402055678,0.231413222313577,0.249941391869331,0.065900937917355,0.0313297503262111,0.527923280697006,0,-0.226617354891322,-0.0163092423123088,-0.116972508377228,-0.0995598249624083,0.263580089981603,-0.225908537074551,0.43704344999473,0.486070104017707,0.196190413522239,0.229721501910454,0.284216532196584,0.474518981576289,0.282690313188844,0.0688865629245007,0.00933073599287971,0.0273179203962287,-0.117132397900552,-0.437890782369704,0.410584382617131,0.0630321150217009
"Map2",0.134628989065769,-0.000985222748364473,0.128575648973329,-0.0445232947375789,-0.0507572077535506,0.282200344468049,-0.110858031385653,-0.13611324890574,-0.0119471429768665,-0.0477400026991259,-0.301141225732875,-0.226617354891322,0,0.0518894124328946,0.137415847405119,0.0858797662531423,-0.12308651528366,0.173794007620282,-0.204108569349322,-0.201866672396127,-0.251825661819985,-0.187707590415852,-0.0837921654267233,-0.168958889543967,-0.145684147181246,0.0208550750822456,0.0381896762464197,0.0139159608059702,0.146325916247113,0.25228933481955,-0.267906639115352,0.0221710201985277
"Mtmr12",0.0754999935642561,0.00340535080050151,-0.00266283596353016,0.00291697439111071,-0.04198408778012,0.0186359943921687,-0.047671826735619,0.0419117766748522,0.0601524506480872,-0.033543381781388,0.040819921846943,-0.0163092423123088,0.0518894124328946,0,0.0155557045400578,-0.0173540728452418,0.0107725749413179,0.030241710192852,-0.0158571192132517,-0.0134538991161156,0.00465228819917225,-0.0177776461002317,0.0218105731833289,0.0266378904363168,0.0129992502745219,0.031795186459248,-0.00757316740477977,-0.0189480043990163,0.0155336806546084,-0.0507876705726507,0.0388595640480658,0.011192836453736
"Nefl",0.156927782365973,0.0401157938950944,0.185920437940386,0.102357599475705,0.100054548285308,0.165168971830565,-0.076803957165268,-0.0359080963213416,0.0323692187790136,-0.178181578362211,-0.131762341567695,-0.116972508377228,0.137415847405119,0.0155557045400578,0,0.220652511345522,-0.0967413416000028,0.107261179719695,-0.107225073606249,-0.169343842522997,0.0369154376342268,-0.175102961703336,-0.0524696759185342,-0.112191899307152,-0.0239214875579679,0.0154470531955123,0.0161604066142939,0.00150194621909957,0.0838608977404344,0.165616646469122,-0.115226835197288,0.0792524494765705
"Nefm",0.0815209390929571,0.0592695077385737,0.0905731602966664,0.0552569792832284,0.0539892368226734,0.129146776312795,-0.0648339018055658,-0.00828744492755025,0.0068232174384613,-0.115716193967959,-0.0960877526425328,-0.0995598249624083,0.0858797662531423,-0.0173540728452418,0.220652511345522,0,-0.0914975163222624,0.0065656022043087,-0.0964939045973417,-0.135143088530894,0.0338219378913572,-0.1137499176494,-0.0511479624613873,-0.0933231298535724,-0.0684986876970788,0.0220963517932608,-0.00274579305229204,0.0469959525786567,0.0142153059453787,0.177469928461931,-0.131073739306309,0.0289158509885798
"Nes",-0.145487988922034,0.00238178737964511,-0.178865379136911,-0.0487664295749363,-0.00151530938174388,-0.180597754992737,0.144778634123622,0.108662073753796,0.0270098265401171,0.0225623785001086,0.307656223832497,0.263580089981603,-0.12308651528366,0.0107725749413179,-0.0967413416000028,-0.0914975163222624,0,-0.137671945076072,0.230164321198025,0.258962973489962,0.112261565811462,0.134957259357805,0.151745499121861,0.291237769012329,0.145558040865937,0.0767344179966403,0.0223946158162139,0.0467303116564314,-0.0606724836436497,-0.259874045007699,0.22179838330959,0.0200159169654386
"Neurod1",0.247877716599556,-0.0246185144937713,0.262348991311896,-7.27452627267009e-05,-0.0651135003648387,0.28936632445421,-0.0812614559901656,-0.171684520922208,-0.014345696372404,0.191701266665366,-0.278631703022122,-0.225908537074551,0.173794007620282,0.030241710192852,0.107261179719695,0.0065656022043087,-0.137671945076072,0,-0.159864543117389,-0.146843491401592,-0.248843280899536,-0.0839167878138235,-0.132540093642016,-0.169642767612987,-0.261306831346889,-0.00271426458236134,0.0209522483535551,-0.0631785898538937,0.0445162768960293,0.22013852799462,-0.0886127940473762,-0.0473381971402869
"Notch1",-0.204507719228282,0.00735091304285889,-0.278334767236014,-0.0783811948107737,-0.00981034907259691,-0.236361494454449,0.167022631770725,0.193520162241681,0.0631178232993964,0.0400157791186964,0.43405299343489,0.43704344999473,-0.204108569349322,-0.0158571192132517,-0.107225073606249,-0.0964939045973417,0.230164321198025,-0.159864543117389,0,0.428096065844153,0.188070227209984,0.239288895951524,0.237632588295604,0.410026884470771,0.208154247610992,0.0543866182529446,0.0262372587422104,0.0421378397896516,-0.0770895767936554,-0.41160371553023,0.369824602620337,0.0358867145933685
"Pax6",-0.306525429723691,-0.0286585375970468,-0.349413886848224,-0.105887232698237,0.0104895366871124,-0.324217006837626,0.250061304379818,0.214874306144369,0.0533977120423721,0.133700990056458,0.405974289976833,0.486070104017707,-0.201866672396127,-0.0134538991161156,-0.169343842522997,-0.135143088530894,0.258962973489962,-0.146843491401592,0.428096065844153,0,0.187440558636451,0.241545756891804,0.280531667705044,0.484828447471615,0.242141016483285,0.0701601212073338,0.0307583115342467,0.0473371352086417,0.000524080529571639,-0.463302846911923,0.39085456954943,0.0523199752899008
