"","Actb","Amacr","Calm1","Cox6b1","Cox7c","Dcx","Erh","Gapdh","Golph3","H3f3a","Hes1","Hes5","Map2","Mtmr12","Nefl","Nefm","Nes","Neurod1","Notch1","Pax6","Ppia","Rpl18","Sox1","Sox2","Sub1","Taf1","Taf2","Tars","Tbr1","Tubb3","Vim","Zfr"
"Hes1",-0.197174635004319,0.0248551466862928,-0.322999974443159,-0.0391387575510789,0.0123761191230811,-0.407218069642206,0.0929762319493486,0.203472219324024,0.056566230227852,-0.0398226702725447,0,0.500620215828712,-0.30715864567338,0.0261244206623041,-0.124897154449966,-0.0900606797112948,0.289296529486314,-0.266195549364896,0.405686706705184,0.400426677765861,0.246065778930589,0.185789562658534,0.241288342460845,0.462244103412452,0.237006853652121,0.0362289396542306,0.0191227280275053,0.0140256473037075,-0.137605212512303,-0.60069766404983,0.45101916480739,0.0589661916569233
"Hes5",-0.265982491676244,0.00378309345896083,-0.345525475961839,-0.0598709517265363,0.0263959943220044,-0.341150170240308,0.210076365659548,0.238481412937999,0.0503847444560269,0.0332738205501777,0.500620215828712,0,-0.227186448770487,-0.0304337679805395,-0.112000718040509,-0.0994902398632408,0.243105141505125,-0.221946854636004,0.398708498700266,0.472726513822781,0.188409203589196,0.203026675177573,0.28586936160872,0.446330430265625,0.253642928087329,0.0344687012125472,-0.00915139020619097,0.0187926288098686,-0.118960899431639,-0.537163903145209,0.440457366499382,0.0519506121916466
"Map2",0.115075898487581,-0.00607784657565917,0.168624503358204,-0.0396945558336488,-0.0357888464735616,0.311152138031707,-0.0874522626840949,-0.113444527024488,-0.0173724106400878,-0.039307556159598,-0.30715864567338,-0.227186448770487,0,0.0473840309682977,0.143586631874948,0.0878311694372732,-0.130271648935267,0.166412109888033,-0.210221985534351,-0.220849884678105,-0.223813315297809,-0.188684202199477,-0.0885342818753317,-0.170156496902621,-0.127264003913995,0.0166668290449508,0.0278248627627069,0.0108764887784834,0.139339430475722,0.40166975835852,-0.293437932355152,0.0156616583298923
"Mtmr12",0.0723510401679793,0.0020881180052921,0.00555993346631822,0.0070131881725641,-0.0280273830905311,0.00434732302710714,-0.0349629288685319,0.0443768882872408,0.0379929538053766,-0.016962074767067,0.0261244206623041,-0.0304337679805395,0.0473840309682977,0,0.0152828657816991,-0.0121856349958297,-0.0104934771855917,0.0414467175093523,-0.0170806490352839,-0.016660241735191,-0.00884428034044667,-0.00586227228578293,0.0252700385062187,0.0130259701854144,0.0168458809932971,0.00400222632500415,-0.0278059864205991,-0.0254086223081282,0.0093541796985916,-0.0225230936444975,0.0330188491485833,-0.000903638573483624
"Nefl",0.129228944753258,0.0317175057863547,0.165134980473923,0.0901006643907543,0.0859984823561134,0.164199099634947,-0.0509203679535473,-0.025443420326729,0.0202941443795009,-0.169494622044894,-0.124897154449966,-0.112000718040509,0.143586631874948,0.0152828657816991,0,0.225305878591771,-0.091335426124597,0.0882942694799671,-0.111669618506673,-0.16473506547669,0.030304712321043,-0.151706410742551,-0.0523765751520655,-0.109915860091491,-0.0108166773578363,-0.0130268188135358,-0.0122905199215716,-0.00363935628319755,0.0529896766894629,0.194573423773515,-0.126669619110841,0.0565543104627032
"Nefm",0.0613204257112082,0.0560358782950455,0.0860786820215384,0.0388756230007024,0.0515197577238434,0.130045146639142,-0.0332593943346875,0.00421052663675152,0.000653263861310517,-0.0930577636304666,-0.0900606797112948,-0.0994902398632408,0.0878311694372732,-0.0121856349958297,0.225305878591771,0,-0.0834387680053296,-0.0204943616474865,-0.10111445427341,-0.128344379922585,0.0261620833330433,-0.0831845934339584,-0.0427381009725907,-0.0911808397839605,-0.0575107212052784,0.00219754669265542,-0.00838461313709489,0.0344190339208837,-0.0067717546967701,0.191704951217228,-0.140096146310277,0.00991962984865383
"Nes",-0.120351902794321,-0.00560307271437895,-0.172307721226534,-0.0404778746136823,-0.00312445506682443,-0.19517843166975,0.135927124027527,0.080358005976414,0.0141112139125984,0.0180592309109378,0.289296529486314,0.243105141505125,-0.130271648935267,-0.0104934771855917,-0.091335426124597,-0.0834387680053296,0,-0.133207972965538,0.203032814937945,0.257776283130134,0.105105330131403,0.115253864020396,0.118226056745195,0.291035136475995,0.113823914480262,0.0671338844262332,-0.00277475895967852,0.0357214872467926,-0.0637585528275738,-0.314750311061386,0.233909681259196,0.0102045436814471
"Neurod1",0.197977268102863,-0.0271858006290493,0.250569291313083,-0.00946976131898233,-0.0653638329599735,0.296160934117101,-0.0551400975916956,-0.144439233636861,-0.0186480903815998,0.195183627818906,-0.266195549364896,-0.221946854636004,0.166412109888033,0.0414467175093523,0.0882942694799671,-0.0204943616474865,-0.133207972965538,0,-0.162276019331621,-0.146708660029056,-0.241859574024423,-0.0681025648025581,-0.120864706235179,-0.172228149669943,-0.199381947458761,-0.00265081176895062,0.0137478490844115,-0.0661713467707005,0.0311288137996063,0.295098788444527,-0.123100716891918,-0.053812291536742
"Notch1",-0.175876369067877,0.00237906806528826,-0.280898029646318,-0.0690014289966702,-0.00510940585953778,-0.265231751788249,0.154194046284963,0.182429439092434,0.0396527644060929,0.0414124469470277,0.405686706705184,0.398708498700266,-0.210221985534351,-0.0170806490352839,-0.111669618506673,-0.10111445427341,0.203032814937945,-0.162276019331621,0,0.428323049057838,0.178552337810811,0.226922256060542,0.191591314263106,0.396165629636997,0.1877265304412,0.0435910873118494,0.00793953720441743,0.0346942599337412,-0.0886074276716438,-0.485686173531993,0.413009011561523,0.0307487877144225
"Pax6",-0.264700720313843,-0.0336076726890584,-0.391510222805754,-0.0974873495015,0.0316894937477509,-0.361147192404512,0.2376486710355,0.2040758051678,0.0472066619611551,0.123130101873765,0.400426677765861,0.472726513822781,-0.220849884678105,-0.016660241735191,-0.16473506547669,-0.128344379922585,0.257776283130134,-0.146708660029056,0.428323049057838,0,0.195095734523563,0.233905595504712,0.294031512594161,0.492906778198792,0.223572123833622,0.0559190465761428,0.0292425530364203,0.036532878280753,-0.011443434994783,-0.538691704673207,0.436193118450936,0.0377111608160535
